address,year,day,length,weight,count,looped,neighbors,income,label
1336Ty1Aa9TnEJN9kiWfGNo5ts8WP9ZYRa,2013,252,20,0.03125434,2,0,1,4.87E+09,white
1NQNfwwVRDkxQ9oWJNwu73hm3dureWRYXY,2013,252,16,0.00390625,1,0,2,4.30E+07,white
1DisEuBnRzcWkZdosjt8x4NVZAVoHt7CLH,2013,252,12,0.004166667,1,0,1,78043659,white
19YLodDw7DUkUihmWeg8A9f6QFGX76orHK,2013,252,2,0.25,1,0,2,1.12E+08,white
12xHvVs4PZvYNYLduzinLvVkG2SdmSDwAQ,2013,252,0,1,1,0,1,134058893,white
1KMekxziqUHVS4MUPBFu8WZQH5rJkS96fE,2013,252,8,0.0625,1,0,2,388248772,white
1AiGYM7i54542yqhZLUuBwaQ3UbFPv8gDu,2013,252,2,0.125,1,0,1,152900000,white
1FRv1Z6YQT8WUjEc34QyAd8hQYyDcxYyoc,2013,252,12,0.046889796,3,0,1,5.00E+07,white
1H9HueNEkr5PvnQWNuwfoRyFZoi3XmB5HF,2013,252,4,0.083333333,1,0,2,44950000,white
1N8VusqpfbpMPPhdTheq9fjTq9Rnn3tAjd,2013,252,144,0.112747718,1443,0,2,75685182,white
15fxxXbcLZpvAcSk9471cpjybBzvteEMnA,2013,252,8,0.125,2,0,2,30410000,white
1Kvjn72NnG8dCa7ussFzHDkokzpDAheyFT,2013,252,22,0.001953125,1,0,2,41691350000,white
15SC93wbwH4srACgo1WJi7DuPMxAaCDmX5,2013,252,56,3.451401476,20,2,8,1.82E+09,white
15dpHF9pKcbBSvV5V489zYGVVRT4pZRAhv,2013,252,6,1.9375,6,0,1,1.04E+09,white
1KFQiJfmisVbfeQdZeUT4i9VT7auQuE4W,2013,252,22,9.04E-06,1,0,2,407990000,white
14USfTwEkWGoMBHQFESZS2YYcWD6ps6Vxb,2013,252,20,0.005859375,2,0,2,6.83E+08,white
1821nwH6CZqbKJ7Bi2YsYjWvYEad6wu4EZ,2013,252,14,1.876132246,14,5,1,165460000,white
1JBwqj1pVaZyu2HyY7eSxSaUhQFzPsJAPp,2013,252,144,0.055032645,245,0,2,342700350,white
1DoXdVfgX5bzZ53gn8pJp51M3mhVff36qz,2013,252,0,0.5,1,0,1,114688987,white
1PsojT59cWEKrFDNcHK6hvZk1jRWq6cw39,2013,252,0,1,1,0,1,50199980,white
13fhNPA5SdqmaVFUL1qgmdzZ7KqXhoVCYJ,2013,252,0,1,1,0,1,33880198,white
1BBE3yqj83Qf2LPZQAqfUeW6pDWXyVJti8,2013,252,16,0.0078125,1,0,1,87270000,white
12i51jrpeyjaV7R8ViVmWh5rNpc8SyKs2X,2013,252,14,3.5859375,17,2,1,15203835783,white
13Pdd8Ew72VzpM9s9q27Dvec9LkM7wkrYG,2013,252,2,0.166666667,1,0,1,1.75E+08,white
1M1zPW4LLU4S2F9RusWJGXBv5bzM9SuXRc,2013,252,0,0.5,1,0,1,47852474,white
16yJDthHoZYCbzfD6DB8zBtdHiT9TBBAXQ,2013,252,106,0.012857099,474,0,2,5.00E+07,white
1Q8phGrAicctx9sbgzfRBJMGX8psRH2LJQ,2013,252,136,0.076212179,503,0,2,879847000,white
15carH7FALw7rmbuEGtU33WfkFJsqG329A,2013,252,20,0.00390625,1,0,2,2395390552,white
