address,year,day,length,weight,count,looped,neighbors,income,label,date
1336Ty1Aa9TnEJN9kiWfGNo5ts8WP9ZYRa,2013,252,20,0.03125434,2,0,1,4870000000.0,white,2013-09-09
1NQNfwwVRDkxQ9oWJNwu73hm3dureWRYXY,2013,252,16,0.00390625,1,0,2,43000000.0,white,2013-09-09
1DisEuBnRzcWkZdosjt8x4NVZAVoHt7CLH,2013,252,12,0.004166667,1,0,1,78043659.0,white,2013-09-09
19YLodDw7DUkUihmWeg8A9f6QFGX76orHK,2013,252,2,0.25,1,0,2,112000000.0,white,2013-09-09
12xHvVs4PZvYNYLduzinLvVkG2SdmSDwAQ,2013,252,0,1.0,1,0,1,134058893.0,white,2013-09-09
1KMekxziqUHVS4MUPBFu8WZQH5rJkS96fE,2013,252,8,0.0625,1,0,2,388248772.0,white,2013-09-09
1AiGYM7i54542yqhZLUuBwaQ3UbFPv8gDu,2013,252,2,0.125,1,0,1,152900000.0,white,2013-09-09
1FRv1Z6YQT8WUjEc34QyAd8hQYyDcxYyoc,2013,252,12,0.046889796,3,0,1,50000000.0,white,2013-09-09
1H9HueNEkr5PvnQWNuwfoRyFZoi3XmB5HF,2013,252,4,0.083333333,1,0,2,44950000.0,white,2013-09-09
1N8VusqpfbpMPPhdTheq9fjTq9Rnn3tAjd,2013,252,144,0.11274771800000001,1443,0,2,75685182.0,white,2013-09-09
15fxxXbcLZpvAcSk9471cpjybBzvteEMnA,2013,252,8,0.125,2,0,2,30410000.0,white,2013-09-09
1Kvjn72NnG8dCa7ussFzHDkokzpDAheyFT,2013,252,22,0.001953125,1,0,2,41691350000.0,white,2013-09-09
15SC93wbwH4srACgo1WJi7DuPMxAaCDmX5,2013,252,56,3.451401476,20,2,8,1820000000.0,white,2013-09-09
15dpHF9pKcbBSvV5V489zYGVVRT4pZRAhv,2013,252,6,1.9375,6,0,1,1040000000.0,white,2013-09-09
1KFQiJfmisVbfeQdZeUT4i9VT7auQuE4W,2013,252,22,9.04e-06,1,0,2,407990000.0,white,2013-09-09
14USfTwEkWGoMBHQFESZS2YYcWD6ps6Vxb,2013,252,20,0.005859375,2,0,2,683000000.0,white,2013-09-09
1821nwH6CZqbKJ7Bi2YsYjWvYEad6wu4EZ,2013,252,14,1.8761322459999998,14,5,1,165460000.0,white,2013-09-09
1JBwqj1pVaZyu2HyY7eSxSaUhQFzPsJAPp,2013,252,144,0.055032645,245,0,2,342700350.0,white,2013-09-09
1DoXdVfgX5bzZ53gn8pJp51M3mhVff36qz,2013,252,0,0.5,1,0,1,114688987.0,white,2013-09-09
1PsojT59cWEKrFDNcHK6hvZk1jRWq6cw39,2013,252,0,1.0,1,0,1,50199980.0,white,2013-09-09
13fhNPA5SdqmaVFUL1qgmdzZ7KqXhoVCYJ,2013,252,0,1.0,1,0,1,33880198.0,white,2013-09-09
1BBE3yqj83Qf2LPZQAqfUeW6pDWXyVJti8,2013,252,16,0.0078125,1,0,1,87270000.0,white,2013-09-09
12i51jrpeyjaV7R8ViVmWh5rNpc8SyKs2X,2013,252,14,3.5859375,17,2,1,15203835783.0,white,2013-09-09
13Pdd8Ew72VzpM9s9q27Dvec9LkM7wkrYG,2013,252,2,0.166666667,1,0,1,175000000.0,white,2013-09-09
1M1zPW4LLU4S2F9RusWJGXBv5bzM9SuXRc,2013,252,0,0.5,1,0,1,47852474.0,white,2013-09-09
16yJDthHoZYCbzfD6DB8zBtdHiT9TBBAXQ,2013,252,106,0.012857098999999999,474,0,2,50000000.0,white,2013-09-09
1Q8phGrAicctx9sbgzfRBJMGX8psRH2LJQ,2013,252,136,0.076212179,503,0,2,879847000.0,white,2013-09-09
15carH7FALw7rmbuEGtU33WfkFJsqG329A,2013,252,20,0.00390625,1,0,2,2395390552.0,white,2013-09-09
14yLjXifs1zWxHC7pawkZKHGrjuTHB3Khq,2013,252,6,0.065972222,2,0,2,6189950000.0,white,2013-09-09
18dmsLg5uTfhoqAuEoB2QsZQ5PmiYoUGBN,2013,252,44,0.5,1,0,2,955205000.0,white,2013-09-09
12HUyZeNFqk4db2EM7GY5e6homTVTpPd7Z,2013,252,0,2.0,2,0,2,40000000000.0,white,2013-09-09
1CE6Zz47Qqy9AzGZxSE387dT8YDSHMWyco,2013,252,14,0.125,1,0,2,331379275.0,white,2013-09-09
1oCYS9Zrx1Fihjf7bqUFWkEw7cd1scPkc,2013,252,4,0.125,1,0,2,100000000.0,white,2013-09-09
1NNMVRPVZYYRuhFkdU1JAr9VaAmNUENwwE,2013,252,12,0.28125,5,0,2,145000000.0,white,2013-09-09
1MQnQUp2n6eFRSqekeccBgQoZFCz7kSiT,2013,252,144,4.347295521,1728,495,8,1590000000.0,white,2013-09-09
1CR4ydfNeSMhbtjkuFM7ntgJQJvqZWEDxU,2013,252,10,0.031274777000000004,16,0,2,1000000000.0,white,2013-09-09
1NGjsa4o83mLfabqqVdpYKaQaR7Mm9Y6pw,2013,252,18,0.001953125,2,0,2,33890000.0,white,2013-09-09
1FWxbormZXMK6sRvR5TBaC6CoY4axG2Mjw,2013,252,0,1.0,1,0,2,231375071.0,white,2013-09-09
1L95JKSCpcBm62yjomZKkisWJDLvYFNih3,2013,252,0,0.2,1,0,2,100000000.0,white,2013-09-09
12CDvRT86CRVbq6E9U95QFenHKWizXDaHj,2013,252,0,0.5,1,0,1,100000000.0,white,2013-09-09
1Qpr6424zNLQDLWhsdHUtq1cJvq9iioVi,2013,252,0,1.0,1,0,2,1923991629.0,white,2013-09-09
1J99akbtjHRURbzHEZKgdUMD9EcQUy9zMn,2013,252,6,0.375,2,0,2,264231359.0,white,2013-09-09
1HtUyiA5GZK2htExPMrtQRswNqQG2Quxex,2013,252,8,1.0625,2,0,4,5248846749.0,white,2013-09-09
19h7HprQF34w4CEHTN2hw9ujXfJPsryuJV,2013,252,2,0.25,1,0,2,1172050000.0,white,2013-09-09
1QJr9FisHTu5GJxKBjvYM5XNGKmhNzQF7m,2013,252,34,3.62508138,7,0,5,1642657585.0,white,2013-09-09
1MtVaLVAgiPQHke33ELETYGyzNpHBnZViw,2013,252,0,0.5,1,0,2,353200000.0,white,2013-09-09
1AWjcsnHXgdJBjCyYzBaRWmCqpiHbrFkg1,2013,252,0,0.5,1,0,1,540067010.0,white,2013-09-09
1ELmhfNKqkp5tnR1ARKUbwa29J9CegPS5y,2013,252,6,0.125,1,0,2,644200000.0,white,2013-09-09
1KfQVcJnax83fAcnwPgLMQMjmXhpXszUdt,2013,252,144,0.34259778399999996,1356,0,2,131670608.0,white,2013-09-09
1G32nSkh6dgNWQ7d4U5dSsRFMZad9J4BLF,2013,252,8,0.125,2,0,2,475000000.0,white,2013-09-09
19TzButGsj6TwufxpggcMhnnLhRXjNoj9b,2013,252,24,0.00024414099999999997,1,0,1,63090000.0,white,2013-09-09
16GKr1ZpDVvCJZWTCWPNo5cb26ZBevTQBi,2013,252,2,1.0,1,0,2,99000000.0,white,2013-09-09
1C86ikNftBSJrUQQZo48xg2c6BtBNRqKkv,2013,252,12,0.0078125,1,0,2,77750000.0,white,2013-09-09
16YmRezQMWtCJvUZJLnzs8jnwiTtLAbrPW,2013,252,8,0.5,1,0,2,36030000.0,white,2013-09-09
19VsmVctHQ6qdwKXayfSV61bq3kU3YA3KL,2013,252,0,0.047619048,1,0,1,100000000.0,white,2013-09-09
16MxnqRCBzu3SLDGLf5LYDNo1GtprErRnw,2013,252,32,0.26029731,12,0,4,540000000.0,white,2013-09-09
1DUjV3EcBoVfwVoL2fyyNWnge6EpqsTwNc,2013,252,10,0.020833333,1,0,2,1171908056.0,white,2013-09-09
16GcKmXrYhKZLfHN9W3gv2umqwNXnEPyCd,2013,252,12,4.75,8,0,2,1026050000.0,white,2013-09-09
19asmr6Li82inSUFuERhAYsXLqCGfDRvgP,2013,252,0,1.0,1,0,2,30386676.0,white,2013-09-09
17hv9mVtQBtS2eMgZuWf2E72mUzfzmPXCL,2013,252,6,0.5,1,0,1,53033840.0,white,2013-09-09
1EvLpaHT5958AZwNdianUeVg1pur1UwhzD,2013,252,10,0.5,1,0,2,1939010004.0,white,2013-09-09
18JwAwVuKcpPRR4TCCfZMameaBv1QL9Zdj,2013,252,0,0.5,1,0,2,552347731.0,white,2013-09-09
1A8h4rH3bTxUEbFFyjjYnmM6QUaWsK4KYg,2013,252,144,0.0068790809999999996,329,0,2,464208000.0,white,2013-09-09
173RV9PjdtJoWTxnj1AwEQzao6atBvCnGp,2013,252,0,0.5,1,0,2,259105500.0,white,2013-09-09
169yga26vEaJGWbJRcDgYa2vo4qJq5QSqt,2013,252,0,0.5,1,0,2,185630000.0,white,2013-09-09
165mRSutQxvS7U4qzDzmFY81fkmQqd5zWV,2013,252,2,0.25,1,0,2,224980000.0,white,2013-09-09
17ynocABLGrfaa8Qxvp3Qr3GvPyfSiC1HV,2013,252,8,0.5,1,0,1,79850000.0,white,2013-09-09
1NBq6hrxr1bmrgxbh9vZ5iVD5n2cbrZ78L,2013,252,4,1.5,3,0,1,35631606.0,white,2013-09-09
12Cbq1LNCK6ZLHJT4YXL2EtZsnbjLqDj4Q,2013,252,2,0.5,1,0,2,200000000.0,white,2013-09-09
1GHCfvuMyeFNUWWjzect9gjvLSTFFAALzn,2013,252,4,0.75,2,0,1,270357197.0,white,2013-09-09
1HKtEces5h4NA4wdd2PTJ8xv2X5QeejjRy,2013,252,6,0.375,2,0,2,699800000.0,white,2013-09-09
1BjU3cjRUQGzfhuWqMjx7VK1cizv2ptBxN,2013,252,144,5.5799999999999994e-05,1580,0,2,101065767.0,white,2013-09-09
1ExXxdfrsEUXQzSsKCbiurrYs4ipkBP7gH,2013,252,32,0.438392867,5,0,2,7815817715.0,white,2013-09-09
